"","ID_rispondente","blocco","ID_domanda","alternativa","dolce","bottiglia","salame","torrone","cioccolatini","miele","grana","prezzo","destinatario","anni","occupazione","genere","provincia","team","scelta"
"1",1,"1",1,"1","panettone","passito","1","1","0","0","0",10,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"2",1,"1",1,"2","pandoro","passito","1","0","1","1","0",10,"Parente",34,"Lavoratore","F","TN","Team Pandoro","1"
"3",1,"1",1,"3","panettone","spumante","0","1","0","0","1",13,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"4",1,"1",2,"1","panettone","passito","1","0","1","0","1",13,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"5",1,"1",2,"2","pandoro","spumante","0","1","1","0","1",10,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"6",1,"1",2,"3","pandoro","spumante","1","1","1","1","1",16,"Parente",34,"Lavoratore","F","TN","Team Pandoro","1"
"7",1,"1",3,"1","panettone","passito","1","1","1","1","1",16,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"8",1,"1",3,"2","panettone","spumante","1","0","1","1","0",16,"Parente",34,"Lavoratore","F","TN","Team Pandoro","1"
"9",1,"1",3,"3","panettone","spumante","0","0","1","0","0",10,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"10",1,"1",4,"1","panettone","passito","1","0","0","1","0",20,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"11",1,"1",4,"2","pandoro","passito","1","1","1","0","0",13,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"12",1,"1",4,"3","pandoro","spumante","1","0","1","0","1",13,"Parente",34,"Lavoratore","F","TN","Team Pandoro","1"
"13",1,"1",5,"1","panettone","spumante","0","0","0","1","1",10,"Parente",34,"Lavoratore","F","TN","Team Pandoro","0"
"14",1,"1",5,"2","pandoro","spumante","0","0","0","0","0",20,"Parente",34,"Lavoratore","F","TN","Team Pandoro","1"
